,DRUG,DIAG
1518811,N01B,70401
1518812,N01B,7200
1518814,N01B,6940
1518817,N01B,7103
1518819,N01B,3485
1518820,N01B,72632
1518822,N01B,283
1518823,N01B,7014
1518824,N01B,208
1518825,N01B,2021
1518827,N01B,36011
1518828,N01B,7159
1518829,N01B,7104
1518830,N01B,6960
1518831,N01B,6962
1518833,N01B,5551
1518834,N01B,7140
1518835,N01B,2875
1518836,N01B,69515
1518837,N01B,72783
1518838,N01B,7100
1518839,N01B,4465
1518840,N01B,124
1518841,N01B,01300
1518842,N01B,5569
1518846,N01B,6970
1518847,N01B,2451
1518850,J05A,042
1518851,B02A,4590
1518856,J01D,59080
1518862,L01D,188
1518867,C01B,42731
1518868,C01B,42732
1518870,N05C,78052
1518872,N03A,29680
1518873,N03A,7803
1518874,N03A,346
1518875,N03A,3452
1518876,J04A,010
1518877,N02C,346
1518878,N02B,78060
1518879,N02B,338
1518880,R05D,7862
1518881,R05D,338
1518883,J01C,6149
1518884,J01C,5679
1518887,N02C,33902
1518888,N02C,346
1518891,N06A,3071
1518892,N06A,31401
1518893,N06A,30751
1518895,N06A,2506
1518896,N06A,78052
1518897,N06A,5641
1518899,N06A,346
1518900,N06A,78836
1518903,N06A,30781
1518904,N04B,3320
1518907,C02D,4590
1518908,C02D,428
1518910,N02A,338
1518912,N02A,7862
1518913,M02A,7200
1518914,M02A,7260
1518915,M02A,27400
1518916,M02A,7159
1518917,M02A,3381
1518918,M02A,7470
1518919,M02A,7140
1518921,J04A,0319
1518923,J04A,01190
1518924,A10B,2564
1518926,R03B,4939
1518929,R03B,460
1518931,N07B,3055
1518933,N05A,29680
1518934,N05A,2931
1518936,N05A,30723
1518937,N05A,30981
1518938,N05A,2989
1518939,N05A,295
1518940,C07A,413
1518941,C07A,42731
1518942,C07A,428
1518943,C07A,99791
1518944,C07A,346
1518946,C07A,242
1518947,C07A,4270
1518948,D11A,70901
1518950,A02B,532
1518951,A02B,531
1518952,A02B,53081
1518954,A02B,7871
1518957,J04A,010
1518958,J04A,01190
1518961,S01G,4770
1518963,C08D,5650
1518964,C08D,4131
1518965,C08D,413
1518966,C08D,42731
1518968,C08D,42732
1518969,C08D,99791
1518972,C08D,7910
1518976,V04C,3382
1518977,G04C,6000
1518978,N03A,3452
1518980,N05B,3459
1518981,D11A,7040
1518985,L01B,2050
1518986,G02A,666
1518991,J01D,73020
1518993,J01D,7110
1518994,J01D,5990
1518996,M03B,338
1518997,P01B,084
1518998,J01E,0990
1519000,J01E,0770
1519001,J01E,3200
1519002,J01E,0360
1519004,J01E,020
1519005,J01E,084
1519006,J01E,1309
1519007,J01E,076
1519008,J01E,5990
1519009,J01E,390
1519010,A16A,2701
1519011,L01C,150
1519015,J02A,1129
1519017,N05A,295
1519018,N05A,2921
1519020,A02B,531
1519022,A02B,53081
1519025,A02B,533
1519026,R06A,487
1519027,R06A,78052
1519030,R06A,460
1519032,G03A,6213
1519033,G03A,6179
1519037,C01C,458
1519039,C01C,78552
1519042,J05A,05901
1519043,J05A,0501
1519045,N06A,3004
1519049,N06A,78052
1519052,N06A,3499
1519053,N06A,3003
1519056,N06A,295
1519058,N06A,304
1519059,N06A,30781
1519060,N06A,78322
1519062,C07A,346
1519063,C07A,36504
1519067,N04A,3320
1519069,N04A,3321
1519073,V03A,4259
1519074,C08C,413
1519076,C08C,4140
1519077,C08C,99791
1519078,C08C,4131
1519079,C03D,7823
1519080,C03D,99791
1519083,R01B,455
1519084,R01B,458
1519086,R01B,78551
1519087,C01A,42731
1519089,N04A,3320
1519097,M03B,3381
1519098,G03D,6266
1519099,G03D,6260
1519100,G03D,628
1519105,M05B,73300
1519108,D01A,1104
1519110,C08C,99791
1519111,N05C,78052
1519112,N05B,79921
1519115,R06A,477
1519117,D01A,110
1519118,N05A,295
1519119,R01A,684
1519120,S01E,36513
1519122,S01E,37731
1519124,N04B,29680
1519125,N04B,3320
1519131,J01C,0270
1519132,J01C,3209
1519133,J01C,0330
1519136,J01C,0020
1519139,J01C,5990
1519140,J01C,0399
1519142,J01C,0229
1519147,J01C,101
1519148,J01C,0341
1519150,J01C,390
1519151,N05C,78052
1519154,C03D,7895
1519155,C03D,428
1519156,C03D,7823
1519157,C03D,99791
1519158,C03D,7041
1519159,C03D,2768
1519160,C03D,581
1519161,C03D,2551
1519162,N06B,31401
1519163,N06B,3470
1519164,M03B,72885
1519165,M03B,338
1519167,M03B,037
1519169,A03B,7897
1519170,A03B,5959
1519173,A03B,5641
1519174,A03B,59654
1519175,A03B,56481
1519176,A03B,5770
1519178,A03B,533
1519179,A03B,7880
1519182,A03B,460
1519186,N05C,78052
1519187,J05A,053
1519188,J05A,05410
1519189,J05A,0542
1519191,R06A,4770
1519194,P03A,1330
1519197,N05A,295
1519200,R06A,3071
1519203,R06A,7083
1519204,R06A,346
1519205,R06A,4770
1519208,C03A,99791
1519211,M04A,274
1519216,J01D,5990
1519217,J01E,023
1519218,J01E,0049
1519223,S03B,27400
1519225,S03B,70401
1519226,S03B,7200
1519228,S03B,6940
1519229,S03B,7260
1519232,S03B,7103
1519233,S03B,7099
1519235,S03B,3485
1519236,S03B,72632
1519238,S03B,7014
1519239,S03B,208
1519240,S03B,6970
1519242,S03B,7100
1519244,S03B,2021
1519246,S03B,581
1519247,S03B,36011
1519248,S03B,6944
1519249,S03B,7104
1519250,S03B,6960
1519251,S03B,6962
1519252,S03B,01190
1519254,S03B,5551
1519255,S03B,7140
1519257,S03B,2875
1519258,S03B,69515
1519259,S03B,4465
1519260,S03B,124
1519261,S03B,01300
1519262,S03B,5569
1519264,S03B,283
1519269,S03B,2451
1519273,A02B,53081
1519274,A02B,578
1519275,A02B,533
1519277,S01E,36512
1519278,S01E,36504
1519281,N05A,2931
1519285,R01A,37230
1519290,R01A,3700
1519291,R01A,3739
1519294,R06A,4770
1519296,C02C,6000
1519297,C02C,99791
1519298,C02C,4430
1519299,N06A,31401
1519300,N06A,30751
1519301,N06A,3076
1519305,N06A,30981
1519308,M01A,7159
1519309,M01A,7140
1519311,S01B,346
1519315,S01B,3381
1519318,P01B,0840
1519319,M01A,7245
1519320,M01A,7159
1519321,M01A,338
1519322,M01A,7140
1519324,R03D,4939
1519325,R03D,49381
1519327,R03D,4770
1519328,N06A,303
1519329,N06A,3071
1519330,N06A,27800
1519331,N06A,30751
1519333,N06A,29680
1519335,N06A,3332
1519336,N06A,3003
1519337,N06A,30275
1519340,N05B,79921
1519343,N05B,533
1519344,N06A,7242
1519345,N06A,2506
1519352,N05A,79921
1519353,N05A,29680
1519357,N05A,295
1519358,N05A,037
1519359,N05A,7868
1519360,J05A,487
1519361,D06A,7907
1519366,D06A,3209
1519372,D06A,010
1519373,D06A,940
1519375,L04A,2004
1519376,L04A,2030
1519377,L04A,23875
1519379,G03X,73300
1519380,M01A,7200
1519381,M01A,7159
1519382,M01A,3381
1519383,M01A,6253
1519384,M01A,7140
1519386,D11A,36504
1519388,J01C,684
1519390,L01X,1830
1519391,C07A,42731
1519392,C07A,42732
1519396,C09A,2504
1519397,C09A,428
1519398,C09A,99791
1519400,J01D,7907
1519403,J01D,5990
1519407,J01D,098
1519410,J01D,3209
1519411,J01D,6149
1519413,J01D,4829
1519416,N04B,3320
1519417,J05A,042
1519418,G04B,59651
1519421,L02B,7041
1519422,M02A,7200
1519423,M02A,7159
1519424,M02A,338
1519425,M02A,7140
1519427,M02A,7260
1519428,M02A,72632
1519429,A02B,53081
1519430,A02B,7871
1519432,N05A,2931
1519433,N05A,30723
1519434,N05A,3334
1519435,N05A,3003
1519436,N05A,2989
1519437,N05A,295
1519439,J05A,042
1519440,P01A,1270
1519441,P01A,1239
1519442,P01A,0052
1519443,P01A,0074
1519444,P01A,0071
1519447,B02A,4590
1519449,R05D,7862
1519452,L01X,150
1519456,L01X,1519
1519458,L01X,2030
1519464,L01X,1640
1519466,P02C,1270
1519469,C09A,2504
1519470,C09A,428
1519471,C09A,99791
1519475,J02A,110
1519476,J02A,5679
1519477,S01E,37731
1519478,C03B,7823
1519482,D01A,1110
1519483,D01A,1104
1519484,L01X,150
1519485,L01X,1519
1519487,C05A,455
1519489,C05A,6980
1519491,J05A,05410
1519493,J05A,054
1519497,L01A,2050
1519499,L01A,2830
1519501,L01A,2002
1519502,L01A,2041
1519503,L01A,2051
1519505,L01A,4464
1519508,L01A,2010
1519509,L01A,5813
1519510,L01A,2030
1519511,L01A,3580
1519513,L01A,2000
1519519,L01A,2733
1519524,J01M,3829
1519528,J01M,0092
1519531,J01M,020
1519535,N06A,5641
1519539,N06A,3382
1519543,L01C,2041
1519547,L01C,28731
1519548,L01C,1769
1519549,L01C,2010
1519550,L01C,2030
1519552,L01C,2000
1519559,C09A,2504
1519560,C09A,428
1519561,C09A,99791
1519567,L01B,7020
1519569,L01B,1539
1519570,L01B,157
1519571,L01B,1519
1519574,N07A,56400
1519575,N07A,3580
1519577,N07A,4580
1519581,R03D,4939
1519586,G04B,5990
1519588,L01X,2041
1519589,L01X,2024
1519590,L01X,2021
1519591,L01X,2022
1519592,M02A,7200
1519593,M02A,7159
1519594,M02A,7140
1519595,N03A,7803
1519596,N05B,79921
1519599,J05A,487
1519608,L01B,188
1519610,L01B,5551
1519611,L01B,7103
1519612,L01B,340
1519613,L01B,6339
1519614,L01B,27950
1519616,L01B,630
1519617,L01B,7104
1519621,L01B,7100
1519625,N03A,29680
1519626,N03A,7803
1519627,N03A,338
1519628,N03A,33394
1519632,J01D,73020
1519633,J01D,3829
1519636,J01D,6019
1519639,B01A,4111
1519640,L01C,2830
1519641,L01C,188
1519642,L01C,28731
1519643,L01C,1769
1519644,L01C,2025
1519646,L01C,2010
1519648,C07A,413
1519649,C07A,42731
1519650,C07A,4140
1519651,C07A,5307
1519652,C07A,22800
1519653,C07A,99791
1519655,C07A,346
1519656,C07A,4251
1519660,C07A,242
1519662,C07A,4270
1519663,S01F,36800
1519664,S01F,42610
1519668,S01F,59651
1519672,S01F,533
1519677,S01F,72885
1519678,S01F,34982
1519680,M01A,7159
1519681,M01A,7140
1519682,N02C,31401
1519683,N02C,30723
1519684,N02C,99791
1519686,N02C,2533
1519691,J05A,0785
1519692,J05A,052
1519693,J05A,05410
1519695,J05A,054
1519697,J05A,053
1519699,M01A,7159
1519700,M01A,6253
1519701,M01A,7140
1519702,A06A,56400
1519703,A06A,5722
1519704,J02A,114
1519705,J02A,110
1519709,C09A,2504
1519710,C09A,99791
1519712,A02B,532
1519713,A02B,5301
1519714,A02B,531
1519715,A02B,53081
1519716,A02B,533
1519717,M02A,7020
1519718,M02A,346
1519719,M02A,7200
1519721,M02A,27400
1519724,M02A,7159
1519726,M02A,338
1519730,M02A,6253
1519731,M02A,7140
1519732,M02A,460
1519743,C02C,6000
1519744,C02C,99791
1519747,C05A,7099
1519752,C03D,7895
1519754,C03D,428
1519755,C03D,99791
1519756,C03D,2768
1519757,C03D,2763
1519758,C03D,78842
1519762,C07A,99791
1519765,C07A,430
1519770,P02C,6953
1519771,P02C,1270
1519773,P02C,1281
1519774,P02C,1259
1519777,P02C,1253
1519779,P02C,1330
1519788,M01A,7200
1519790,M01A,27400
1519791,M01A,7159
1519792,M01A,7140
1519796,P01B,084
1519799,P01B,7140
1519800,P01B,135
1519801,J04A,010
1519802,N02A,338
1519803,C07A,42731
1519806,C07A,428
1519807,C07A,99791
1519813,J04A,010
1519815,D06A,0399
1519816,D06A,0229
1519817,D06A,0880
1519818,D06A,023
1519820,D06A,0010
1519821,D06A,0052
1519822,D06A,0770
1519825,D06A,0270
1519826,D06A,101
1519827,D06A,020
1519828,D06A,073
1519829,D06A,087
1519831,D06A,0839
1519832,D06A,0999
1519835,D06A,0219
1519836,D06A,5990
1519837,D06A,1029
1519840,L01E,2051
1519843,L01E,23875
1519849,D07A,27400
1519850,D07A,477
1519851,D07A,70401
1519852,D07A,7200
1519853,D07A,4939
1519855,D07A,2830
1519857,D07A,6940
1519859,D07A,9915
1519862,D07A,5551
1519864,D07A,7103
1519866,D07A,3485
1519867,D07A,72632
1519869,D07A,22800
1519870,D07A,27542
1519873,D07A,7014
1519874,D07A,208
1519875,D07A,6970
1519878,D07A,2021
1519880,D07A,36011
1519881,D07A,6944
1519883,D07A,7104
1519886,D07A,7910
1519887,D07A,6960
1519888,D07A,6962
1519890,D07A,7140
1519891,D07A,2875
1519894,D07A,72783
1519895,D07A,7100
1519896,D07A,4465
1519897,D07A,99980
1519898,D07A,124
1519899,D07A,010
1519900,D07A,5569
1519902,D07A,72743
1519906,D07A,2451
1519907,D07A,69510
1519909,A14A,338
1519911,C08C,99791
1519912,C08C,346
1519913,N05A,392
1519914,N05A,30723
1519915,N05A,2989
1519918,J05A,042
1519919,R02A,510
1519923,R02A,940
1519924,R02A,1361
1519925,C10A,440
1519928,C10A,2652
1519929,C10A,2692
1519935,M05B,75651
1519936,M05B,73300
1519942,S01A,37230
1519943,S01A,076
1519947,A07E,27400
1519949,A07E,477
1519950,A07E,3700
1519951,A07E,7200
1519952,A07E,5186
1519954,A07E,4939
1519956,A07E,3510
1519958,A07E,6940
1519959,A07E,36320
1519962,A07E,3709
1519963,A07E,5551
1519966,A07E,7103
1519967,A07E,018
1519969,A07E,3485
1519970,A07E,72632
1519973,A07E,4465
1519974,A07E,57142
1519975,A07E,495
1519976,A07E,28731
1519977,A07E,3643
1519979,A07E,208
1519980,A07E,5183
1519982,A07E,2021
1519983,A07E,36011
1519984,A07E,37730
1519985,A07E,6944
1519988,A07E,725
1519990,A07E,7910
1519991,A07E,6960
1519994,A07E,39890
1519995,A07E,7140
1519997,A07E,2875
1519999,A07E,7102
1520000,A07E,69515
1520001,A07E,7100
1520002,A07E,4467
1520004,A07E,245
1520005,A07E,242
1520006,A07E,124
1520007,A07E,01300
1520008,A07E,5569
1520011,A07E,283
1520012,A07E,51636
1520014,A07E,2451
1520015,A07E,0532
1520016,G01A,1121
1520021,C10A,250
1520026,L01B,1830
1520029,P02C,1260
1520030,P02C,1270
1520031,P02C,1275
1520032,P02C,1274
1520033,P02C,1259
1520034,P02C,0071
1520036,P02C,1272
1520037,P02C,1233
1520038,P02C,1280
1520040,N01B,7862
1520042,N01B,7841
1520045,A07A,1120
1520046,A07A,6980
1520048,A07A,1121
1520049,N02A,338
1520050,L01X,2550
1520051,J05A,042
1520054,A12C,56400
1520055,A12C,7803
1520057,S01E,36504
1520058,S01E,37731
1520059,N06A,303
1520060,N06A,3310
1520061,N06A,79921
1520062,N06A,290
1520064,N06A,78052
1520066,N06A,295
1520069,N07B,303
1520072,C08D,33902
1520074,C08D,99791
1520076,C08D,4111
1520077,C08D,4131
1520080,D07X,7099
1520083,H01C,6179
1520086,R03A,4590
1520088,R03A,74686
1520089,R03A,458
1520090,R03A,4644
1520091,R03A,36513
1520092,R03A,7802
1520093,R03A,7089
1520095,R03A,42741
1520097,N02C,346
1520100,J01D,08881
1520101,J01D,0039
1520102,J01D,0020
1520103,J01D,0049
1520104,A10B,2535
1520107,N06D,3310
1520108,N06D,290
1520109,N06D,33182
1520113,L02B,7787
1520114,L02B,1830
1520116,C09C,2504
1520117,C09C,428
1520118,C09C,99791
1520119,C09C,75982
1520121,N05A,2989
1520122,N05A,295
1520123,G01A,114
1520124,G01A,115
1520125,G01A,110
1520127,G01A,0859
1520128,G01A,3210
1520130,G01A,0855
1520132,G01A,0850
1520137,B01A,4539
1520139,B01A,435
1520140,N05C,7803
1520141,N05C,3452
1520143,S01A,3209
1520152,N05C,78052
1520153,C09A,99791
1520159,L01D,2060
1520160,L01D,2050
1520161,C03C,7823
1520162,C03C,99791
1520163,N02C,33902
1520164,N02C,346
1520166,M03B,7242
1520168,M03B,78052
1520169,M03B,346
1520170,M03B,7803
1520172,J01X,5959
1520173,J01X,5990
1520174,C03D,99791
1520175,C03D,428
1520176,S01E,36513
1520178,N07B,303
1520179,N07B,27800
1520180,N07B,3055
1520181,J05A,042
1520182,G04C,6000
1520183,G04C,5960
1520185,L01X,150
1520186,L01X,53085
1520187,N01A,3381
1520190,J05A,042
1520192,M05B,73300
1520193,R02A,7200
1520194,R02A,6253
1520195,R02A,7159
1520196,R02A,7140
1520203,N06A,5641
1520205,N06A,3003
1520207,N06A,30981
1520208,N06A,30275
1520211,S01G,4939
1520212,G03D,6179
1520218,C09A,428
1520219,C09A,2504
1520220,C09A,99791
1520221,C09A,346
1520222,D06B,07811
1520223,D06B,054
1520224,D06B,0780
1520226,A03B,7862
1520228,N06A,78052
1520229,N06A,78836
1520230,C05A,413
1520231,C05A,5650
1520232,C05A,428
1520234,C05A,5307
1520237,V03A,34982
1520238,N05A,29680
1520239,N05A,79922
1520240,N05A,295
1520241,N05A,2989
1520242,D01A,1104
1520244,A02B,53081
1520245,A02B,7871
1520247,R06A,9946
1520248,R06A,38610
1520251,N07X,33520
1520252,S02B,27400
1520253,S02B,477
1520254,S02B,3700
1520255,S02B,7200
1520257,S02B,4939
1520260,S02B,6940
1520261,S02B,36320
1520265,S02B,3709
1520266,S02B,5551
1520269,S02B,7103
1520270,S02B,7099
1520272,S02B,72632
1520275,S02B,28731
1520276,S02B,3643
1520278,S02B,208
1520279,S02B,5183
1520281,S02B,2021
1520282,S02B,36011
1520283,S02B,37730
1520284,S02B,6944
1520286,S02B,7910
1520287,S02B,6960
1520288,S02B,39890
1520289,S02B,7140
1520291,S02B,2875
1520293,S02B,69515
1520294,S02B,72783
1520295,S02B,7100
1520296,S02B,124
1520297,S02B,01300
1520298,S02B,5569
1520299,S02B,283
1520300,S02B,2451
1520301,S02B,69510
1520302,S02B,0532
1520303,B05B,5849
1520304,B05B,3485
1520305,B05B,37731
1520309,N06B,31401
1520312,N06B,3470
1520313,N06B,32723
1520314,N06B,32731
1520316,S01F,9946
1520319,R06A,477
1520322,R06A,7089
1520324,R06A,7083
1520326,M01A,7159
1520327,M01A,3381
1520328,M01A,7140
1520330,N03A,7803
1520342,J01A,6953
1520343,J01A,0399
1520344,J01A,0229
1520347,J01A,0880
1520348,J01A,023
1520349,J01A,0990
1520351,J01A,0010
1520352,J01A,0770
1520353,J01A,0069
1520354,J01A,04149
1520355,J01A,0992
1520359,J01A,0270
1520360,J01A,0991
1520361,J01A,101
1520362,J01A,098
1520363,J01A,073
1520364,J01A,020
1520365,J01A,0830
1520366,J01A,087
1520369,J01A,0049
1520372,J01A,0979
1520373,J01A,076
1520374,J01A,0219
1520375,J01A,0811
1520376,J01A,5990
1520377,J01A,1029
1520378,J01A,0052
1520381,J01D,3209
1520382,B05X,2768
1520383,L01C,150
1520387,L01C,157
1520388,L01C,1519
1520389,L01C,1830
1520402,R01A,4770
1520404,G04B,7470
1520405,G04B,4430
1520414,L01C,2050
1520417,L01C,2030
1520419,L01C,209
1520420,L01C,2000
1520421,L01C,1830
1520422,L01C,185
1520427,C03A,7823
1520428,C03A,99791
1520430,N03A,7803
1520433,N06A,29680
1520436,S03A,3200
1520437,S03A,3209
1520438,S03A,5990
1520440,A03A,533
1520446,G03C,25631
1520447,G03C,185
1520448,G03C,655
1520450,M01A,6253
1520451,D06B,3510
1520452,D06B,052
1520453,D06B,0543
1520454,D06B,054
1520455,D06B,053
1520456,D06B,0542
1520457,D06B,0785
1520458,G02C,27400
1520459,G02C,346
1520460,G02C,7200
1520461,G02C,7149
1520462,G02C,7245
1520463,G02C,7260
1520464,G02C,78060
1520465,G02C,7840
1520467,G02C,6253
1520468,G02C,7159
1520469,G02C,338
1520470,G02C,7140
1520473,C09A,2504
1520474,C09A,99791
1520477,C09A,428
1520479,N03A,7803
1520482,A07E,5551
1520485,A07E,7140
1520492,D06A,37230
1520498,D06A,684
1520499,D06A,3700
1520500,D06A,37040
1520501,D06A,3209
1520504,D06A,68601
1520505,D06A,7063
1520507,D06A,3739
1520513,A03A,5641
1520517,C03B,99791
1520518,C03B,5920
1520522,M01A,7159
1520526,M01A,7140
1520527,R03A,4939
1520529,R03A,491
1520530,R03A,492
1520532,S01E,7823
1520534,S01E,7803
1520535,S01E,2763
1520536,S01E,36513
1520538,G04B,6000
1520541,P03A,303
1520552,N05B,79921
1520555,N05B,3452
1520557,N05A,2989
1520558,N05A,295
1520560,J01D,5990
1520563,R06A,460
1520564,R06A,477
1520566,R06A,4770
1520567,A07D,78791
1520568,A07D,0092
1520569,D07A,7099
1520571,C01C,428
1520572,C01C,4140
1520573,N05B,79921
1520576,N06D,2904
1520577,N06D,33182
1520578,N06D,3310
1520579,D07A,7099
1520582,N05A,79921
1520584,N05A,295
1520585,L01A,2010
1520587,R01B,6073
1520594,D01A,72885
1520597,D01B,1110
1520598,D01B,1171
1520600,D01B,1104
1520601,M01C,9849
1520605,A01A,6953
1520607,A01A,27400
1520608,A01A,3700
1520609,A01A,7200
1520610,A01A,5186
1520613,A01A,3510
1520615,A01A,6940
1520616,A01A,36320
1520620,A01A,37230
1520621,A01A,3709
1520623,A01A,5551
1520626,A01A,7103
1520628,A01A,3485
1520629,A01A,72632
1520631,A01A,4939
1520633,A01A,0532
1520634,A01A,495
1520635,A01A,51631
1520636,A01A,28731
1520637,A01A,3643
1520639,A01A,208
1520640,A01A,5183
1520642,A01A,2021
1520643,A01A,36011
1520644,A01A,37730
1520645,A01A,6944
1520649,A01A,725
1520650,A01A,7910
1520651,A01A,6960
1520652,A01A,01190
1520655,A01A,7140
1520657,A01A,4770
1520658,A01A,2875
1520660,A01A,7102
1520661,A01A,69515
1520662,A01A,72783
1520663,A01A,7100
1520664,A01A,124
1520665,A01A,010
1520666,A01A,01300
1520667,A01A,5569
1520670,A01A,283
1520672,A01A,2451
1520676,N02B,7159
1520677,N02B,7140
1520680,A02B,7200
1520681,A02B,532
1520682,A02B,531
1520683,A02B,53081
1520685,A02B,7871
1520686,A02B,7159
1520687,A02B,533
1520688,A02B,7140
1520690,L04A,27950
1520693,L04A,68601
1520694,L04A,7140
1520695,L04A,70901
1520698,R05D,7862
1520699,S01E,36504
1520702,S01B,6953
1520703,S01B,37230
1520705,S01B,0532
1520708,N05A,295
1520709,C09C,428
1520710,C09C,2504
1520711,C09C,99791
1520713,S01X,27950
1520714,S01X,5164
1520718,J05A,042
1520720,C03A,7823
1520721,C03A,99791
1520722,C09A,428
1520723,C09A,2504
1520724,C09A,99791
1520726,C05A,413
1520727,C05A,4140
1520728,C05A,428
1520729,C05A,99791
1520730,M05B,73300
1520732,C03C,7823
